"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2","4.2",
"Africa Eastern and Southern","AFE","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4988232.4","4968316.114","4947640.628","4911134.742","4890838.856","4870542.97","4850247.084","4829951.198","4809655.312","4789359.426","5058895.14","4744578.076","4720092.612","4695607.148","4671121.684","4646636.22","4622150.756","4597665.292","4573179.828","4548694.364","4796590.6","4765400.98","4734211.36","4703021.74","4671832.12","4640642.5","4607876.1","4575901.2","4544314.78","4511676.2","4479395",
"Afghanistan","AFG","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12084.4","12084.4","12084.4","12084.4","12084.4","12084.4","12084.4","12084.4","12084.4","12084.4","12084.4","12084.4","12084.4","12084.4","12084.4","12084.4","12084.4","12084.4","12084.4","12084.4","12084.4","12084.4","12084.4","12084.4","12084.4","12084.4","12084.4","12084.4","12084.4","12084.4","12084.4",
"Africa Western and Central","AFW","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2060349","2049660.284","2038971.568","2028282.852","2017594.136","2006905.42","1996216.704","1985527.988","1974839.272","1964150.556","1953461.84","1945128.216","1936794.592","1928460.968","1920127.344","1911793.72","1903460.096","1895126.472","1886792.848","1878459.224","1870125.6","1862169.28","1854212.96","1846256.64","1838300.32","1830344","1822960.7789","1815608.1","1807898.6","1800220.1","1792580.7",
"Angola","AGO","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","792627.8","791073.63","789519.46","787965.29","786411.12","784856.95","783302.78","781748.61","780194.44","778640.27","777086.1","771535.49","765984.88","760434.27","754883.66","749333.05","743782.44","738231.83","732681.22","727130.61","721580","716029.38","710478.76","704928.14","699377.52","693826.9","688276.2","682725.7","677175.1","671624.4","666073.8",
"Albania","ALB","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7888","7868.5","7849","7829.5","7810","7790.5","7771","7751.5","7732","7712.5","7693","7705.77","7718.54","7731.31","7744.08","7756.85","7769.62","7782.39","7795.16","7807.93","7820.7","7834.935","7849.17","7863.405","7877.64","7891.875","7891.8","7889.025","7889","7889","7889",
"Andorra","AND","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160",
"Arab World","ARB","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200673.068999237","199957.771999237","199242.474999237","198527.177999237","197811.880999237","197096.584999237","196381.287999237","195665.990999237","194950.693999237","194235.396999237","411781.7","193302.650003815","193085.199998856","192867.650001144","192650.199996185","192432.750000763","192215.100000763","191997.450000763","191779.800000763","191562.150000763","392164","389730.660000763","387305.120000763","384879.580000763","382454.040000763","380038.2","377730.6","375191.7","372634.1","370302.7","367980.7",
"United Arab Emirates","ARE","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2450","2514.43","2578.86","2643.29","2707.72","2772.15","2836.58","2901.01","2965.44","3029.87","3094.3","3102.17","3110.04","3117.91","3125.78","3133.65","3141.52","3149.39","3157.26","3165.13","3173","3173","3173","3173","3173","3173","3173","3173","3173","3173","3173",
"Argentina","ARG","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","352040","350214","348388","346562","344736","342910","341084","339258","337432","335606","333780","330616","327452","324288","321124","317960","314796","311632","308468","305304","302140","299906","297672","295438","293204","290970","290100","288990","287910","286810","285730",
